gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,0,0,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,3,-1.4867496984100992,-1.0023442692635882,1
0,0,1,0,1.0406523912264887,1,2,0,0,2,0,2,0,0,2,1,1,-0.1646960938660534,0.5363445910388971,0
1,0,1,1,0.6738028294456765,1,0,0,2,2,0,2,0,0,0,0,1,-0.17467385691921591,0.3002175870676009,0
0,0,0,0,-0.1006573565360382,1,0,0,2,2,0,0,0,0,0,1,0,-0.3176884606812135,-0.33544443166365456,0
1,0,1,1,0.592280704605496,1,2,1,0,2,0,0,2,2,0,1,2,1.1473797476248297,1.0856224505947893,1
1,0,1,1,-1.2827281667186554,0,1,0,0,2,0,0,0,0,0,0,2,-1.1524946361291517,-0.9979069536504404,1
1,0,1,0,1.6113072651077522,1,2,0,2,2,2,2,2,2,2,1,1,0.8447209350122307,1.801023693180226,0
0,0,0,1,-0.6305511679972114,1,0,0,0,0,0,0,2,2,0,1,3,-0.005051885015451507,-0.5286111561166129,1
0,1,1,0,1.570546202687662,1,2,1,2,2,2,2,0,0,2,1,1,1.0476021170932035,1.9765294599689138,0
1,1,1,0,-1.2419671042985652,1,0,1,0,0,2,0,2,2,0,1,1,1.0193317884425763,-0.9310381526940962,0
0,0,1,1,-0.22294054379630893,1,0,0,2,2,2,2,0,0,1,0,3,0.0431739697415012,-0.1836264243421694,0
1,0,0,0,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,0,-1.4850867379012387,-1.002322193066508,0
1,1,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,0,0,-0.6519435229621608,-0.9912620183292585,0
0,0,1,1,1.6113072651077522,1,2,1,2,2,0,2,2,0,2,0,0,1.1656723132222948,2.1905581906627916,0
1,0,0,0,-1.1196839170382944,1,0,1,0,0,0,0,0,0,0,1,2,0.16124416587059198,-0.8713220395917816,1
0,0,0,0,0.5515196421854057,1,0,1,0,0,2,0,0,0,0,1,1,0.3308661377743562,0.5554184253163094,0
1,0,0,0,0.06238689314432279,1,2,1,0,2,2,0,2,2,0,1,2,1.3801942188652905,0.5558378730608357,1
0,0,0,0,-0.8751175425177529,1,2,1,0,0,2,0,2,2,0,1,0,1.0974909323590165,-0.5231804116348497,1
1,0,1,1,-0.9158786049378431,1,0,0,0,2,0,0,0,0,1,0,3,-0.5089289192001635,-0.8012080376646278,0
0,0,1,1,1.5297851402675717,1,2,0,2,2,0,0,2,0,2,1,1,0.14461456078198764,1.1400182002007426,0
0,0,1,1,-0.6305511679972114,1,0,2,1,1,1,1,1,1,1,0,3,-1.466794172303774,-0.8265735881099363,0
0,0,0,0,1.24445770332694,1,2,0,2,2,2,2,2,0,2,1,1,0.49882514916926,1.1352055892372288,0
0,0,1,0,-0.7935954176775724,1,2,0,2,2,0,2,2,0,0,1,2,0.37742903202244854,-0.5779073041970079,0
0,0,0,0,0.6738028294456765,1,2,1,0,0,0,0,0,2,0,1,2,0.6534804764932807,0.7136606059881727,0
1,0,0,0,-1.2419671042985652,1,0,0,0,2,0,0,0,0,0,0,3,-0.518906682253326,-0.9684131543511086,0
0,0,0,0,-1.2419671042985652,1,0,1,0,0,0,0,2,0,0,1,2,0.5254325173110274,-0.9475953005043497,1
1,0,0,0,0.7960860167059473,1,2,0,2,0,0,2,2,2,2,1,1,0.49549922815153935,0.8510187042220365,0
0,0,1,1,1.4890240778474815,1,2,0,2,0,2,2,0,0,2,1,1,-0.023344450612916196,0.867046023302362,0
0,1,0,0,0.429236454925135,1,2,1,0,2,0,0,2,0,0,1,2,0.8447209350122307,0.6836590541559933,0
0,0,0,0,-0.712073292837392,1,0,1,2,2,0,0,2,2,0,1,1,1.1390649450805275,-0.3814512263790791,1
0,1,1,0,-0.3044626686364894,1,2,0,2,0,0,2,2,0,0,1,1,0.15459232383515015,-0.23740404042987298,0
0,1,1,0,-0.9974007297780236,1,2,1,0,2,0,0,0,0,0,1,1,0.5254325173110274,-0.7316238644674021,1
0,1,1,1,1.1221745160666692,1,0,0,2,2,2,2,0,2,1,1,1,0.33252909828321653,0.9563442404923297,0
1,1,0,0,-0.5897901055771212,1,2,1,0,0,0,0,2,2,0,1,2,1.017668827933716,-0.2374481928240337,1
0,0,1,1,1.24445770332694,1,2,1,2,0,0,0,2,2,1,1,1,1.1573575106779928,1.775304923581632,0
1,1,1,1,1.3667408905872107,1,2,1,0,2,2,2,2,2,1,1,2,1.450038560237429,2.1131369675020464,0
0,0,1,1,0.06238689314432279,1,2,2,1,1,1,1,1,1,2,0,1,-1.3271054895594974,-0.6163861157080373,0
0,0,0,0,1.6113072651077522,1,2,1,0,0,2,2,2,2,2,1,1,1.4184423105690807,2.4563556035100627,0
0,0,1,0,0.592280704605496,1,2,1,0,0,2,0,2,2,0,1,2,1.18562783932862,1.0670563688502253,0
1,0,0,0,1.1221745160666692,1,2,1,0,2,0,0,2,0,0,1,0,0.8330802114502078,1.3953735718290132,0
1,0,1,0,1.6113072651077522,0,1,0,2,2,2,0,0,0,2,0,0,-0.7567100350203682,0.29655293835226465,0
0,0,1,1,-0.5897901055771212,1,0,0,0,0,2,2,0,0,1,1,1,-0.34762174984070127,-0.5886584121751326,0
0,0,0,0,-0.9566396673579334,1,2,1,0,0,0,0,2,2,0,0,2,0.982746657247647,-0.6327445777445677,1
0,0,0,0,-1.201206041878475,1,0,0,0,2,0,2,2,2,0,1,2,0.34749574286296053,-0.9034649825407539,0
1,0,1,0,0.592280704605496,1,2,1,0,2,0,0,0,0,1,1,2,0.4672288995009121,0.6004759435572793,0
0,0,0,0,-0.05989629411594795,1,0,0,0,2,2,2,2,2,2,0,3,0.4772066625540746,0.09133261029344159,0
0,0,1,1,0.7145638918657667,1,0,2,1,1,1,1,1,1,2,0,0,-1.4867496984100992,-0.6002263394452297,0
1,0,0,0,-0.9158786049378431,1,0,1,2,0,2,0,0,0,0,1,3,0.49882514916926,-0.6194547071022043,0
1,0,0,0,-1.2827281667186554,1,0,0,0,0,0,2,0,0,0,0,3,-0.5255585242887678,-0.9895842273511528,0
0,0,1,1,0.7960860167059473,1,0,2,1,1,1,1,1,1,1,1,2,-1.4784348958657971,-0.5296928897735494,0
1,1,1,1,1.2852187657470302,1,2,1,2,0,2,2,2,2,2,1,0,1.5548050722956361,2.123137484779439,0
1,0,1,1,1.2036966409068497,1,2,2,1,1,1,1,1,1,2,1,0,-1.3503869366835435,-0.3822459694739713,0
0,0,0,1,-1.201206041878475,1,0,0,2,0,0,2,0,2,0,1,0,-0.011703727050893342,-0.9329146294459248,0
0,1,0,0,0.9591302663863083,1,2,1,2,2,2,0,2,2,1,0,2,1.518219941100707,1.699495262807751,0
0,0,0,0,0.5515196421854057,1,0,0,0,0,0,0,0,2,1,0,1,-0.30604773711919037,0.17595067370237757,0
0,0,1,1,-0.9974007297780236,1,0,0,2,2,0,0,0,0,0,0,3,-0.3393069472963991,-0.7983160558471035,0
1,1,0,0,-0.1006573565360382,1,0,0,2,2,0,0,2,2,0,1,2,0.3292031772654958,-0.07905147877260774,0
0,0,1,1,0.5107585797653155,1,2,2,1,1,1,1,1,1,1,1,1,-1.2955092398911492,-0.47408294932817785,0
0,0,0,1,-1.2827281667186554,1,0,1,0,0,0,0,2,0,0,1,2,0.4821955440806557,-0.9762060519204679,1
0,0,1,1,-0.8751175425177529,0,1,0,2,0,0,0,2,2,0,0,2,-0.4756697090229548,-0.7616254162995816,0
0,0,1,0,-1.0381617921981139,1,0,1,0,0,2,0,0,0,0,1,0,0.3425068613363795,-0.7918477301025644,1
0,0,0,0,0.38847539250504476,1,0,1,0,2,2,2,2,2,0,1,0,1.2953832329134085,0.8994538806162983,0
0,0,1,0,0.6738028294456765,1,0,2,1,1,1,1,1,1,2,1,0,-1.4867496984100992,-0.5814836481240228,0
1,0,0,0,-0.9566396673579334,1,2,1,0,2,0,0,2,2,0,1,1,1.1457167871159692,-0.6055908553357519,0
0,0,1,0,0.10314795556441304,1,0,0,2,0,0,0,2,0,1,1,0,-0.08986287096733384,-0.033066760254263625,0
0,0,1,1,0.6330417670255862,1,0,2,1,1,1,1,1,1,2,0,0,-1.4701200933214948,-0.5445501704086171,0
0,0,1,1,0.5515196421854057,1,0,2,1,1,1,1,1,1,2,1,3,-1.4934015404455407,-0.6019041304233355,0
1,0,1,0,-0.14141841895612844,0,1,0,0,0,0,0,2,0,0,0,3,-1.0344244400000608,-0.5656329386203399,0
1,0,1,1,-0.1006573565360382,1,0,1,0,2,2,0,0,0,0,0,0,0.5719954115591193,0.12356385803073522,0
1,1,0,0,-1.2827281667186554,1,0,1,0,0,0,2,0,0,0,0,2,0.32754021675663547,-0.9782591382489395,0
1,0,1,1,1.3667408905872107,1,2,0,2,0,2,2,2,2,2,1,3,0.6368508714046763,1.5117372066394754,0
0,0,0,0,1.3259798281671205,1,2,1,2,2,2,0,2,2,0,1,1,1.5365125066981715,2.1266696763122934,0
1,0,0,0,1.6113072651077522,1,2,1,0,2,2,0,2,2,2,1,0,1.1989315233995035,2.282108179954954,0
0,0,0,0,-0.8343564800976626,1,2,1,2,0,0,0,0,0,0,1,2,0.46889186000977245,-0.6017937494379337,1
1,0,1,1,1.570546202687662,1,2,0,2,2,0,2,0,0,1,1,1,0.06645541686554692,1.0854237648210663,0
1,0,0,0,-1.1196839170382944,1,0,2,1,1,1,1,1,1,0,0,3,-1.4568164092506115,-0.9609734759350347,1
1,0,0,0,0.7960860167059473,1,0,2,1,1,1,1,1,1,2,0,0,-1.4584793697594718,-0.5223856685399576,0
0,1,1,0,-0.3044626686364894,1,0,1,0,2,2,0,2,2,0,1,2,1.1191094189742024,0.09897097448323865,1
1,0,0,0,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,3,-1.4850867379012387,-1.002322193066508,0
0,0,1,1,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,2,-1.510031145534145,-1.002653336022713,0
1,0,0,0,0.22543114282468377,1,2,1,0,0,2,2,2,0,1,0,0,1.002702183353972,0.5807177471703767,0
0,1,1,0,1.3667408905872107,0,1,0,0,2,2,0,2,0,1,0,0,-0.6419657599089983,0.3253623755421059,0
1,0,1,0,1.4482630154273912,1,2,1,0,2,2,2,2,2,2,1,0,1.5015903360121026,2.3495730382324673,1
1,0,0,0,-1.1196839170382944,0,1,0,0,0,0,0,0,0,0,0,3,-1.3487239761746832,-0.967000277737967,0
0,0,1,1,1.6113072651077522,1,2,1,2,2,0,0,2,2,1,1,2,1.3070239564754318,2.213230445064299,0
0,0,0,0,-0.019135231695857704,0,1,0,2,0,0,0,0,0,1,0,3,-1.1541575966380122,-0.6016612922554516,0
1,0,0,0,0.429236454925135,1,2,1,0,0,0,0,2,2,1,0,3,0.9810836967387861,0.7201068555356316,0
1,0,1,1,1.6113072651077522,1,0,2,1,1,1,1,1,1,2,0,1,-1.5116941060430058,-0.4093334632915462,0
1,0,1,0,0.918369203966218,1,2,1,2,2,0,0,2,0,0,1,2,1.0609058011640873,1.301858800996701,1
0,0,0,0,0.7960860167059473,1,0,0,2,0,2,2,0,0,1,0,1,-0.22955155371161023,0.33198523466620733,0
0,0,0,0,0.429236454925135,1,0,1,0,2,2,0,2,0,0,1,2,0.891283829260323,0.7345888408203333,0
0,1,1,0,0.18467008040459354,1,2,1,0,0,0,0,0,0,0,1,2,0.38740679507561104,0.25511591643247006,1
0,0,1,1,1.2852187657470302,0,1,0,0,2,0,2,2,2,2,1,2,-0.34096990780525943,0.5003162374037854,0
1,0,1,1,-1.201206041878475,1,0,1,2,2,0,0,2,0,0,0,2,0.831417250941347,-0.9015664295918447,0
0,0,0,0,0.14390901798450328,0,1,0,2,0,0,0,0,0,2,0,0,-1.1242243074785245,-0.5139304850581882,0
0,0,1,1,-0.9158786049378431,1,2,1,2,0,0,0,2,2,0,1,2,1.1773130367843176,-0.5411725122553253,1
0,0,0,0,0.3477143300849545,1,0,2,1,1,1,1,1,1,2,0,3,-1.4701200933214948,-0.6425022568540771,0
1,0,1,1,-0.22294054379630893,1,2,1,0,2,0,2,0,0,0,1,1,0.6767619236173268,-0.06125806392585534,0
0,0,1,1,0.9591302663863083,1,2,1,0,0,2,0,2,2,1,1,1,1.1623463922045736,1.423962247048051,0
0,0,0,0,-1.0789228546182041,1,0,2,1,1,1,1,1,1,0,0,3,-1.4684571328126343,-0.9614591522708021,0
1,0,0,0,-1.201206041878475,1,2,1,0,0,0,0,0,0,0,1,2,0.31756245370347297,-0.9098891558911322,1
0,0,1,1,-1.0381617921981139,1,0,0,2,0,0,0,0,0,0,0,3,-0.4706808274963733,-0.8565530637450355,0
0,0,1,1,-1.1604449794583847,1,0,2,1,1,1,1,1,1,0,0,3,-1.463468251286053,-0.9834691207598991,0
1,0,0,0,0.021625830724232544,1,0,1,2,0,0,2,2,0,2,1,2,0.8014839617818594,0.3255389851187486,0
0,1,0,0,-0.22294054379630893,1,2,1,0,0,2,0,0,0,0,1,2,0.43895857085028445,-0.06836659938572417,1
1,0,1,0,1.6113072651077522,1,2,2,1,1,1,1,1,1,2,1,0,-1.3736683838075896,-0.2500757775539871,0
1,0,0,0,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,3,-1.5000533824809827,-1.002520878840231,0
1,1,0,0,1.570546202687662,0,1,0,2,2,0,0,2,2,1,1,2,-0.2794403689774233,0.7483864639955445,0
0,0,0,0,-0.7935954176775724,1,2,1,0,0,0,0,0,2,0,1,2,0.7017063312502334,-0.4745023970727042,0
0,0,1,1,-0.3044626686364894,0,1,0,2,2,2,0,2,2,0,1,1,-0.20793306709642462,-0.3477850258315635,1
1,0,0,0,1.407501953007301,1,0,0,0,0,0,2,0,0,2,0,0,-0.4756697090229548,0.4281712253452404,0
1,0,0,0,-1.2827281667186554,0,1,0,0,0,0,0,0,2,0,1,2,-0.9778837826988059,-0.9955889529570049,1
1,0,0,0,-1.2419671042985652,1,0,0,0,0,0,0,0,0,0,0,2,-0.6818768121216486,-0.9753671564314151,1
0,0,0,0,0.429236454925135,1,2,2,1,1,1,1,1,1,2,1,1,-1.3021610819265907,-0.48662222926980986,0
0,0,0,0,-0.3859847934766699,1,0,1,2,0,0,0,0,0,0,1,0,0.33751797980979803,-0.22599064653933823,0
0,0,1,1,1.2852187657470302,1,0,2,1,1,1,1,1,1,2,0,3,-1.4850867379012387,-0.4470837602989243,0
1,0,0,1,0.9998913288063985,1,0,2,1,1,1,1,1,1,2,1,3,-1.505042264007564,-0.4944151268391692,0
0,1,1,0,-1.2827281667186554,1,0,1,0,0,0,0,0,0,0,1,3,0.18618857350349852,-0.9801356150007682,1
0,1,1,1,1.6113072651077522,1,2,0,2,2,2,2,2,2,2,1,1,0.7715506726223714,1.8258373386985258,0
0,0,0,0,-0.9974007297780236,1,2,0,2,0,0,2,0,2,0,0,2,0.2094700206275447,-0.762376007000313,1
0,0,1,0,1.1629355784867594,1,2,1,0,2,0,0,2,2,2,1,0,1.2039204049260845,1.6252088596324135,0
1,0,0,0,1.2852187657470302,1,2,1,2,2,0,0,0,0,1,1,1,0.6468286344578388,1.3240012266682804,0
1,1,1,0,1.570546202687662,1,2,2,1,1,1,1,1,1,2,0,0,-1.360364699736706,-0.235836630437169,0
0,0,1,1,1.3259798281671205,1,2,1,2,2,0,2,2,0,2,1,1,1.1374019845716672,1.8218856994211454,0
1,0,0,0,-1.201206041878475,1,0,2,1,1,1,1,1,1,1,0,3,-1.505042264007564,-0.9841534828693898,0
1,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,1,2,-0.6386398388912774,-0.9910854087526157,1
1,0,0,1,-0.1006573565360382,1,0,0,0,2,2,0,2,0,1,0,1,-0.011703727050893342,-0.15912184558299408,0
1,0,1,1,-0.712073292837392,1,0,0,0,2,2,2,0,2,0,1,3,0.15459232383515015,-0.5381922256494797,0
0,0,1,1,-0.9974007297780236,1,0,0,0,0,0,2,2,2,0,1,2,0.12299607416680179,-0.7620669402411884,0
1,0,0,0,-1.0381617921981139,1,2,1,0,0,0,0,2,2,0,0,3,1.002702183353972,-0.721822032963732,1
0,0,1,1,1.5297851402675717,1,2,1,2,2,2,0,2,2,1,1,1,1.4400607971842665,2.490286718422542,0
1,0,1,1,1.2036966409068497,1,0,0,2,2,2,2,2,2,2,0,2,0.7066952127768144,1.2914167597777013,0
0,0,1,1,-1.0789228546182041,1,0,2,1,1,1,1,1,1,0,0,3,-1.501716342989843,-0.9611280093145971,0
0,0,1,1,-0.7528343552574821,1,0,1,0,0,0,0,0,2,0,1,0,0.5337473198553295,-0.5022521768026893,0
0,0,0,0,-0.4267458558967602,1,2,1,0,0,0,0,2,0,0,1,0,0.6418397529312578,-0.2068064312765244,0
1,0,1,1,-0.4267458558967602,1,0,2,1,1,1,1,1,1,1,0,3,-1.4867496984100992,-0.8258450736062851,0
1,0,1,1,-0.6713122304173017,1,0,0,2,0,2,0,2,0,2,0,3,-0.020018529595195518,-0.5591204604816402,0
1,0,0,0,-0.9158786049378431,1,2,2,1,1,1,1,1,1,2,0,0,-1.3021610819265907,-0.9001535529787033,0
0,0,0,1,-0.7935954176775724,1,0,0,2,2,0,0,0,0,0,1,2,-0.2944070135571673,-0.6736738471315146,0
0,0,1,0,-0.5082679807369407,1,2,1,2,0,0,0,0,0,0,0,2,0.5836361351211425,-0.30818032826943703,1
0,0,0,0,-1.2419671042985652,1,0,1,0,0,0,0,0,0,0,1,2,0.16124416587059198,-0.9515469397817303,0
1,0,0,0,0.8368470791260375,1,2,0,0,2,2,2,0,2,2,1,0,0.30093284861486863,0.7364211651780014,0
0,0,1,1,-0.8751175425177529,1,0,2,1,1,1,1,1,1,1,0,3,-1.4717830538303551,-0.9079685267451428,0
1,0,1,0,1.4890240778474815,1,0,2,1,1,1,1,1,1,2,0,3,-1.4950645009544015,-0.4092451585032248,0
0,0,0,0,-1.1604449794583847,1,0,1,0,0,0,0,0,0,0,1,0,0.20115521808324252,-0.8907049406283185,1
1,0,1,0,1.6113072651077522,1,2,0,2,2,2,2,2,2,2,1,0,0.8048098827995801,1.7502484398954483,0
1,1,1,0,1.0406523912264887,0,1,0,0,2,2,0,0,2,0,1,2,-0.6502805624533005,0.15932729730088294,1
0,0,1,1,-0.6713122304173017,1,0,2,1,1,1,1,1,1,0,0,2,-1.4784348958657971,-0.8693351818545512,0
1,0,1,0,0.429236454925135,1,0,1,2,0,2,2,0,0,1,1,0,0.6451656739489785,0.5514226336447681,0
0,0,1,0,-1.2419671042985652,1,2,1,0,0,2,2,2,2,0,1,2,1.315338759019734,-0.9040389636648427,1
1,0,1,0,-0.7528343552574821,1,0,0,0,2,2,2,2,2,2,0,3,0.5686694905413986,-0.48947005869317345,0
0,0,1,0,0.8368470791260375,1,0,1,0,0,2,0,2,2,1,1,0,0.9977133018273905,1.196467036135167,1
0,0,0,0,-0.019135231695857704,1,0,2,1,1,1,1,1,1,1,0,0,-1.4734460143392158,-0.7222414807082584,0
0,0,1,0,0.06238689314432279,1,2,2,1,1,1,1,1,1,0,0,2,-1.3354202921037994,-0.6667639974453687,0
0,1,0,0,-0.712073292837392,1,2,1,0,0,0,0,0,0,0,1,3,0.3192254142123333,-0.5053869967880972,1
0,1,0,0,-1.0381617921981139,1,0,1,2,0,0,0,0,0,0,0,0,0.3857438345667507,-0.7888895196937992,1
0,0,1,1,-0.712073292837392,1,2,1,0,2,2,0,2,2,0,1,0,1.3469350086880818,-0.3227947707366208,0
1,0,1,0,1.1629355784867594,1,0,2,1,1,1,1,1,1,1,1,1,-1.4734460143392158,-0.4584530017952984,0
0,0,0,0,-1.2827281667186554,0,1,0,0,2,0,0,0,0,0,0,0,-1.1608094386734538,-0.9980173346358421,1
0,0,0,0,-1.2827281667186554,1,0,0,0,0,0,0,0,0,0,0,3,-0.6502805624533005,-0.9912399421321781,0
1,0,0,0,-0.9974007297780236,1,2,1,0,0,0,0,0,2,0,0,0,0.6534804764932807,-0.7186651367812437,1
1,0,1,1,0.021625830724232544,1,0,0,2,0,2,0,2,2,1,0,1,0.3292031772654958,0.07194970925690489,0
0,0,0,0,-0.7935954176775724,1,0,1,0,2,2,0,0,0,0,1,2,0.47886962306293496,-0.5204208869998075,1
0,0,1,0,-1.2827281667186554,0,1,0,0,0,0,0,0,0,0,1,2,-1.3320943710860789,-1.0002911829351167,1
1,0,0,0,-0.5082679807369407,1,0,0,0,2,0,0,0,0,0,1,3,-0.4340956963014439,-0.5591866890728813,0
1,0,0,0,-1.201206041878475,0,1,0,0,0,0,2,0,0,0,0,2,-1.1458427940937101,-0.974969784883969,0
0,0,0,0,-0.7935954176775724,1,0,2,1,1,1,1,1,1,1,0,2,-1.5033793034987035,-0.9031559157816292,0
0,0,1,0,0.30695326766486425,1,2,0,0,2,0,0,0,0,0,0,1,-0.274451487450842,0.03918863278968303,0
1,0,1,1,0.429236454925135,1,2,0,2,0,0,2,0,2,1,1,1,0.23441442826045122,0.3898690234108538,0
1,0,1,0,-1.0789228546182041,1,0,1,0,2,2,0,0,2,0,1,2,0.8696653426451372,-0.7767917636937739,1
0,0,1,1,1.4890240778474815,1,0,2,1,1,1,1,1,1,2,0,0,-1.5000533824809827,-0.40396894740102396,0
0,0,1,1,1.6113072651077522,1,2,1,2,2,2,0,2,2,2,0,1,1.49161257295894,2.578039601816886,0
1,0,1,1,1.081413453646579,1,0,2,1,1,1,1,1,1,2,0,1,-1.5150200270607266,-0.4846353715325794,0
0,0,1,0,-0.5082679807369407,1,0,1,2,2,0,2,2,0,0,1,2,1.0542539591286455,-0.17161697313046542,0
1,0,1,1,-0.34522373105657966,1,2,2,1,1,1,1,1,1,2,1,0,-1.3553758182101248,-0.7518898133871524,0
1,0,0,0,1.081413453646579,1,2,1,0,2,2,2,2,2,0,1,2,1.546490269751334,1.8673847416037224,0
1,0,1,1,1.6113072651077522,1,2,1,0,2,2,2,2,2,2,1,0,1.576423558910822,2.539340028335053,0
1,0,0,1,-1.2827281667186554,1,0,2,1,1,1,1,1,1,0,0,3,-1.466794172303774,-1.0020793548986242,0
0,0,1,0,-0.22294054379630893,1,0,1,2,0,0,2,2,2,1,1,1,1.2321907335767122,0.17255093935200558,0
0,0,0,0,-0.7528343552574821,1,0,1,0,2,0,2,0,0,0,1,1,0.5054769912047018,-0.5201338964377631,0
1,0,1,1,1.570546202687662,1,2,1,2,0,2,0,2,2,2,0,2,1.3535868507235236,2.2584645728819117,0
1,0,0,1,-0.7935954176775724,1,0,1,0,0,0,0,2,0,0,1,1,0.4472733733945866,-0.5547272972626529,0
1,0,0,0,0.46999751734522527,1,0,1,0,0,0,0,0,0,0,0,1,0.1329738372199643,0.29520629033036394,0
0,0,0,0,0.021625830724232544,1,0,1,0,2,0,2,0,0,1,1,0,0.5021510701869811,0.17418457793595052,0
1,0,1,1,1.6113072651077522,0,1,0,2,2,2,2,0,2,2,1,1,-0.312699579154632,0.8339758800760153,0
1,0,0,0,-1.2827281667186554,1,0,1,0,0,0,0,0,2,0,0,2,0.5004881096781209,-0.9759632137525842,1
0,0,0,0,-0.5490290431570309,1,0,1,2,0,2,2,2,2,0,1,2,1.3885090214095928,-0.15713498784576366,1
1,0,1,0,1.2852187657470302,1,0,1,0,2,2,2,2,2,1,1,1,1.250483299174177,1.926703483158591,0
1,0,0,0,-1.2419671042985652,1,0,0,0,0,0,0,0,0,0,1,1,-0.6269991153292543,-0.9739322036211931,1
0,0,0,0,-1.2827281667186554,0,1,0,0,0,0,0,0,0,0,0,2,-1.3171277265063348,-1.0000924971613938,0
1,0,0,1,1.1629355784867594,1,0,2,1,1,1,1,1,1,2,0,3,-1.5000533824809827,-0.5148797615326426,0
0,0,1,1,-0.14141841895612844,1,0,2,1,1,1,1,1,1,1,0,2,-1.4917385799366805,-0.7727959720222327,0
1,1,1,0,-0.3859847934766699,1,2,1,0,0,0,0,0,2,0,0,2,0.7299766599008606,-0.13885589666324377,0
0,0,1,0,0.9998913288063985,0,1,0,2,2,2,0,2,2,0,1,0,-0.20294418556984337,0.5064754963891996,0
1,0,1,1,1.6113072651077522,0,1,0,2,2,2,2,0,0,2,0,1,-0.6519435229621608,0.37505589516994703,0
1,0,1,0,1.3667408905872107,0,1,0,2,2,2,2,2,0,2,1,0,-0.274451487450842,0.6617815428493782,0
1,0,1,1,1.3259798281671205,1,2,0,0,2,2,2,2,2,2,1,0,0.6435027134401181,1.33965325039824,0
0,0,0,0,-0.9974007297780236,1,0,1,0,0,0,0,2,0,0,1,0,0.5038140306958415,-0.735465122759381,0
